Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,544324069,6983.401764948126,4798742,61.56542629815383,845547,6332963,81.24870368639013,9231,0.1184290487294916,1565,
United States of America,Americas,86291417,26069.706,746987,225.674,172826,1007061,304.246,2327,0.703,645
India,South-East Asia,43452164,3148.698,107206,7.769,18819,525116,38.052,175,0.013,39
Brazil,Americas,32206954,15151.977,388127,182.597,76638,670848,315.605,1458,0.686,316
France,Europe,30025809,46165.598,583696,897.45,124724,146121,224.665,250,0.384,48
Germany,Europe,28180861,33884.785,556407,669.026,88572,141105,169.665,75,0.09,5
The United Kingdom,Europe,22697889,33435.3,124062,182.75,14470,180245,265.511,329,0.485,9
Italy,Europe,18438877,30916.192,424675,712.046,95455,168294,282.176,402,0.674,60
Russian Federation,Europe,18430239,12629.121,20588,14.108,3106,381112,261.153,401,0.275,56
Republic of Korea,Western Pacific,18359341,35809.699,53575,104.497,9595,24547,47.879,59,0.115,10
Türkiye,Europe,15123331,17931.584,26635,31.581,0,99032,117.421,17,0.02,0
Spain,Europe,12734038,26903.306,120404,254.379,0,107906,227.974,302,0.638,0
Viet Nam,Western Pacific,10745631,11039.437,6722,6.906,777,43087,44.265,3,0.003,0
Argentina,Americas,9367172,20725.77,25680,56.819,0,129070,285.58,54,0.119,0
Japan,Western Pacific,9283083,7339.771,91985,72.729,0,31246,24.705,169,0.134,0
Netherlands,Europe,8177667,46977.608,35595,204.48,6276,22370,128.507,22,0.126,8
Australia,Western Pacific,8087651,31716.423,204763,802.996,38943,9837,38.577,330,1.294,60
Iran (Islamic Republic of),Eastern Mediterranean,7237597,8616.91,2157,2.568,441,141386,168.331,13,0.015,0
Colombia,Americas,6151354,12089.238,19697,38.71,0,139970,275.083,52,0.102,0
Indonesia,South-East Asia,6088460,2225.936,13635,4.985,2248,156737,57.303,31,0.011,6
Poland,Europe,6014992,15846.383,2703,7.121,588,116424,306.717,19,0.05,0
Mexico,Americas,5986917,4643.442,64375,49.929,20959,325638,252.564,87,0.067,42
Portugal,Europe,5160861,50125.356,68738,667.624,10741,24121,234.278,140,1.36,17
Ukraine,Europe,5018019,11474.017,981,2.243,0,108656,248.449,18,0.041,0
China,Western Pacific,4729442,321.449,294617,20.024,43157,21158,1.438,884,0.06,85
Malaysia,Western Pacific,4563188,14098.709,16137,49.858,2605,35763,110.496,22,0.068,5
Thailand,South-East Asia,4522915,6479.823,15687,22.474,2695,30648,43.908,105,0.15,14
Austria,Europe,4459767,50103.752,63233,710.398,12310,20048,225.232,31,0.348,1
Israel,Europe,4343807,50185.274,73442,848.497,11077,10958,126.601,36,0.416,0
Belgium,Europe,4225222,36669.508,12402,107.633,0,31903,276.877,22,0.191,0
South Africa,Africa,3993004,6732.578,3997,6.739,0,101745,171.552,48,0.081,0
Chile,Americas,3979797,20818.974,64144,335.548,6506,58467,305.851,171,0.895,8
Czechia,Europe,3932745,36775.458,5425,50.73,1156,40316,376.999,4,0.037,0
Canada,Americas,3913975,10370.301,15051,39.878,0,41566,110.131,137,0.363,0
